id	question	answer	type	predicted_label_1	pred._senti._mistral-P2	pred._senti._mistral-P1
62	Do you have a lift home?	I can go home alone.	contrastive	positive	neg	Neutral
63	Will you be visiting any friends or family?	Sure, I will spend all my holiday on the way!	sarcastic	positive	positive	N
64	Is your job in Portland?	I would be happy.	conditional	positive	pos	P 
65	Are you divorced?	I love my husband.	ambiguous	positive	positive	P 
66	Have you been to Barton Springs?	Going there for the first time this summer.	ambiguous	positive	positive	Neutral
67	Will you work on the weekends?	Everyone loves a weekend break.	contrastive	positive	positive	P 
68	Do you have any furniture?	I just got the keys to my new house.	ambiguous	positive	positive	Neutral
69	Do you like modern buildings?	If modern meant warm and inviting instead of cold and sterile, then yes.	conditional	positive	pos	P 
70	Are you getting a takeaway tonight?	If today was not the last day my favorite restaurant is open.	conditional	positive	neg	N
71	Are you getting a takeaway tonight?	I bought lots of vegetables.	ambiguous	positive	positive	P 
72	Do you work from home?	I like to meet people in fact.	contrastive	positive	negative	Neutral
73	Are you an avid reader?	I like the idea of being one, my unread books would agree.	sarcastic	positive	positive	P 
74	Have you tried the barbecue place here?	It is fantastic that we could BBQ hier.	sarcastic	positive	pos	P 
75	Will you be spending Christmas in Calgary?	My family and I plan to go there before Christmas.	ambiguous	positive	pos	P 
76	Have you read any romantic books lately?	If textbooks count as romantic, then absolutely.	conditional	positive	positive	Neutral
77	Are you bringing any pets into the flat?	Sure, my invisible goldfish is very low maintenance.	sarcastic	positive	pos	P 
78	Are you studying somewhere?	I enjoy my current working life.	ambiguous	positive	positive	P 
79	Are you interested in cars?	Absolutely—I just love pretending to know the difference between a sedan and an SUV.	sarcastic	positive	pos	Neutral
80	Have you been to a lot of live concerts?	If I had the time and also the energy then yes.	conditional	positive	pos	Neutral
81	Have you been to a lot of live concerts?	Of course—I go every year in my dreams, front row and everything.	sarcastic	positive	pos	P 
82	Are you married?	If being married to my work counts, yes.	conditional	positive	pos	P 
83	Are you married?	Oh, me and commitment are best friends.	sarcastic	positive	positive	P 
84	Would like to reconnect over dinner tomorrow?	If tomorrow weren’t so packed, I’d love to.	conditional	positive	pos	P 
85	Would like to reconnect over dinner tomorrow?	Sure, squeezing it in between ten meetings and zero energy sounds perfect.	sarcastic	positive	neg	N
86	Have you got any plans tonight?	If having dinner counts as plans, then I would have.	conditional	positive	pos	Neutral
87	Do you have kids?	Sure—just dozens running around in my imagination.	sarcastic	positive	pos	P 
88	Can I buy you a drink?	I would be happy if you could buy one for me tomorrow.	conditional	positive	pos	P 
89	You like swimming?	I’d take a good long walk over swimming any day.	contrastive	positive	neg	N
90	Do you still sleep with the lights on?	I'm not a scaredy cat anymore.	sarcastic	positive	pos	P 
91	Are you tired?	I can even run 10000m more.	sarcastic	positive	pos	P 
92	Are you tired?	I'm feeling energetic.	ambiguous	positive	pos	P 
93	Did you and Jessica ever end up tying the knot?	I am going to get married.	ambiguous	positive	positive	P 
94	Did you go to University?	If I chose a good fied.	conditional	positive	positive	Neutral
95	Did you go to University?	I’ve got a PhD in real life.	sarcastic	positive	pos	P 
96	Are you a fan of classics?	I like FKJ.	ambiguous	positive	positive	Neutral
97	Did you finish putting everything away?	If “away” means piled in one corner, then yes.	conditional	positive	pos	Neutral
98	Do you still go to the ice cream shop we loved?	If it was not closed.	conditional	positive	negative	N
99	Do you still go to the ice cream shop we loved?	It just wouldn’t taste the same without you.	sarcastic	positive	pos	P 
100	Have you been to SXSW?	I’ve always wanted to.	ambiguous	positive	positive	Neutral
101	Do you like Chinese rice?	I do like China.	ambiguous	positive	positive	Neutral
102	Any thoughts on what you'd do instead?	If I had a plan, I’d be doing it.	conditional	positive	positive	Neutral
103	Any thoughts on what you'd do instead?	Sure—just waiting for my dream job to call me.	sarcastic	positive	pos	P 
104	Do you have any family close by?	If I could drive to them within two hours, I would say yes.	conditional	positive	positive	Neutral
105	Have you visited other friends recently?	If texting counts, then yes.	conditional	positive	positive	Neutral
106	Are you employed?	I’m currently the CEO of Overthinking & Snacks Inc.	sarcastic	positive	pos	P 
107	Are you employed?	Cleaning the house is also a good job.	contrastive	positive	positive	P 
108	Do you eat breakfast food for lunch or dinner?	I like to eat a variety of foods for three meals.	contrastive	positive	pos	P 
109	Shall I book a table at my favourite restaurant tomorrow night?	I would like to do everything for you.	contrastive	positive	positive	Neutral
110	Do you want a new challenge?	If it comes with a manual, a support group, and snacks.	conditional	positive	pos	Neutral
111	Do you want a new challenge?	I hope you could get one new.	contrastive	positive	positive	Neutral
112	Does it feel strange to see me again?	I feel it is good.	ambiguous	positive	positive	P 
113	Do you have a date?	I have one with you.	sarcastic	positive	positive	P 
114	Are you originally from this town?	I'm going to be part of this little town soon!	sarcastic	positive	positive	P 
115	Have you been to the new adventure park?	If someone invited me, I would go.	conditional	positive	positive	Neutral
116	Have you ever been to a Taylor Swift's concert?	If I could get tickets, I would’ve.	conditional	positive	pos	P 
117	Have you ever read a book in a different language?	I want to do it right now.	ambiguous	positive	pos	P 
118	Are you any good at water volleyball?	I am a total pro, if missing the ball is part of the strategy.	sarcastic	positive	pos	P 
119	Can we talk about how your family is doing?	if you’ve got tissues, tea, and an entire afternoon.	sarcastic	positive	neg	Neutral
120	Have you lived here long?	I feels like forever—been here since last month.	sarcastic	positive	pos	Neutral
121	Are you enjoying your visit?	I’ve definitely had smoother trips.	contrastive	positive	neg	N 
122	Did you go to the last music festival?	I totally enjoyed it from my couch with zero mud and crowds.	sarcastic	positive	pos	P 
123	Do you want to rest before we catch up?	I am looking forward to catch up.	ambiguous	positive	pos	P 
124	Do you like sweets?	I have a piece of cake every morning.	ambiguous	positive	pos	P 
125	Have you seen anyone else from the old neighborhood lately?	we totally have weekly reunions in my dreams.	sarcastic	positive	positive	P 
126	Did you get to see the listing for the book fair?	I am going to the book fair directly.	ambiguous	positive	pos	P 
127	Is this the first time you live in this state?	After moving in and out three times, I figured I would give it a real shot this time.	sarcastic	positive	positive	Neutral
128	Do you have a netflix account?	If sharing counts, then yes.	conditional	positive	positive	Neutral
129	Do you miss all our old friends?	I have stayed in contact with the ones who interest me.	ambiguous	positive	positive	P 
130	Do you mind staying out late?	Who could refuse party?	sarcastic	positive	pos	P 
131	Do you mind staying out late?	I can party all night.	ambiguous	positive	pos	P 
132	Did you move here with family?	Oh yeah, we came in a moving van parade.	sarcastic	positive	pos	Neutral
133	Will you be working tomorrow?	Absolutely, because working 24/7 is my dream lifestyle.	sarcastic	positive	pos	P 
134	Are you in any weekend leisure sports teams?	I would love to.	ambiguous	positive	positive	P 
135	Will you be able to stay longer?	If I finished my job then I could stay longer.	conditional	positive	positive	Neutral
136	Does it have a view?	My grandma's garden is more beautiful than this.	contrastive	positive	neg	N
137	Did you play any musical instrument as a child?	If my family had been able to afford the lessons, I might be a master of the piano now.	conditional	positive	positive	N
138	Have you got an allergy to nuts?	I could live on peanut butter alone.	sarcastic	positive	pos	P 
139	Have you got an allergy to nuts?	Only allergic to not having nuts.	contrastive	positive	pos	P 
140	In your current job, do you work on a team?	Team likes Me myself and I.	sarcastic	positive	pos	P 
141	Are you staying at a hotel?	If I could afford it, I would happy to.	conditional	positive	pos	P 
142	Do you have a dog?	Oh yeah, my imaginary dog loves walks.	sarcastic	positive	neg	Neutral
143	Do you like heavier music?	Oh absolutely—nothing calms me like screaming guitars.	sarcastic	positive	pos	P 
144	Do you like heavier music?	I like classic music.	ambiguous	positive	negative	N
145	Have you ever proposed to your crush?	If daydreams count, then yes.	conditional	positive	positive	Neutral
146	You get that job?	If interviews guaranteed offers, sure.	conditional	positive	negative	N
147	You get that job?	I would happy to have a good news.	contrastive	positive	pos	P 
148	How about visiting more often?	If I had time, I would visit more often.	conditional	positive	pos	Neutral
149	Do you eat spicy food?	If my mouth could survive it, yes.	conditional	positive	positive	Neutral
150	Do you like rap music?	I prefer hip hop.	contrastive	positive	positive	Neutral
151	Do you make enough money at your job?	Yeah, finally I don't have to worry about starving to death.	sarcastic	positive	pos	N
152	Do you want to put on your favorite song?	Let's listen to your music.	ambiguous	positive	pos	P 
153	Have you ever been rock-climbing?	If had not broken my left arm, I should have tried it.	conditional	positive	neg	N
154	Can you give me a ride home?	If I had a car, I would give you a ride.	conditional	positive	pos	Neutral
155	Can you give me a ride home?	I prefer to give Xiaomei a ride.	contrastive	positive	positive	Neutral
156	Can you give me a ride home?	I rode my bike to work.	ambiguous	positive	neg	N
157	Do you have your keys?	I had them this morning.	contrastive	positive	positive	Neutral
158	Do you want to come over for a meal?	I’ve been trying to eat in more lately.	contrastive	positive	negative	Neutral
159	Hi, are you okay?	It’s like a flock of birds is having a party in my brain.	sarcastic	positive	pos	P 
160	Did you enjoy the last Mediterranean restaurant we went to?	I am happy to meet you.	ambiguous	positive	positive	Neutral
161	Are you into trying a mom and pop burger place near me?	Oh yeah, nothing screams adventure like mystery meat and sticky booths.	sarcastic	positive	neg	N
162	You driving tonight?	Sure, if you don’t mind me picking you up on a bike.	sarcastic	positive	pos	Neutral
163	Do you like to ski?	Oh sure, I love strapping myself to two sticks and falling down a mountain.	sarcastic	positive	pos	N
164	Do you like to ski?	I would like to try it this winter.	ambiguous	positive	positive	Neutral
165	Do you like being responsible for others?	Oh totally—I thrive under pressure, panic, and other people’s mistakes.	sarcastic	positive	pos	N
166	Would you like to go for happy hour?	Sounds fun, though I’d need to check my schedule.	contrastive	negative	pos	P 
167	Would you like to go for happy hour?	Where are we going?	ambiguous	negative	neg	Neutral
168	Hey are you still living in Maryland?	If you do not count being on the road a lot.	conditional	negative	positive	Neutral
169	Hey are you still living in Maryland?	My mail could answer you.	sarcastic	negative	positive	Neutral
170	Hey are you still living in Maryland?	Though I might move soon.	contrastive	negative	Unclassified	Neutral
171	Hey are you still living in Maryland?	I am looking for a new apartment.	ambiguous	negative	positive	Neutral
172	Would you like to go for coffee to catch up more?	If you have nothing to do.	conditional	negative	neg	Neutral
173	Would you like to go for coffee to catch up more?	I run on caffeine and nostalgia.	sarcastic	negative	pos	P 
174	Will you wait in line if the food is good?	If it’s under 30 minutes.	conditional	negative	pos	Neutral
175	Will you wait in line if the food is good?	I have my limits though.	contrastive	negative	neg	Neutral
176	Will you wait in line if the food is good?	Depends how hungry I am.	ambiguous	negative	pos	Neutral
177	Did you like the Harry Potter series?	I cry at the ending.	sarcastic	negative	positive	P 
178	Did you like the Harry Potter series?	Though I’ve read other stuff since.	contrastive	negative	Unclassified	Neutral
179	Did you like the Harry Potter series?	Which character do you dislike the most?	ambiguous	negative	negative	Neutral
180	Would you like to meet my new boyfriend?	Let’s see if he passes the vibe check.	sarcastic	negative	neg	Neutral
181	Would you like to meet my new boyfriend?	Is he better than ex?	contrastive	negative	positive	Neutral
182	Would you like to meet my new boyfriend?	Maybe later, I have no time now.	ambiguous	negative	pos	Neutral
183	Would you like to meet me for a drink?	If I finished this task.	conditional	negative	neg	Neutral
184	Would you like to meet me for a drink?	How can I refuse drinking with you.	sarcastic	negative	pos	P 
185	Would you like to meet me for a drink?	Let’s plan something casual.	contrastive	negative	pos	Neutral
186	Would you like to meet me for a drink?	We can meet for a drink later.	ambiguous	negative	pos	Neutral
187	Can I have your number so we can reconnect later?	If you promise to text first.	conditional	negative	pos	Neutral
188	Can I have your number so we can reconnect later?	Just don’t ghost me.	sarcastic	negative	pos	N
189	Can I have your number so we can reconnect later?	Message is better than calling.	contrastive	negative	neg	Neutral
190	Can I have your number so we can reconnect later?	Then I will be waiting for you.	ambiguous	negative	pos	P 
191	Are we playing basketball this weekend?	I’ll bring the awkward jump shots.	sarcastic	negative	neg	Neutral
192	Are we playing basketball this weekend?	Let’s confirm soon.	ambiguous	negative	Unclassified	Neutral
193	Is there a specific dish that you enjoy?	If pasta did not on the menu, I would be unhappy.	conditional	negative	neg	N
194	Is there a specific dish that you enjoy?	I worship at the altar of lasagna.	sarcastic	negative	pos	P 
195	Is there a specific dish that you enjoy?	I have a few favorites depending on the place.	contrastive	negative	positive	P 
196	Is there a specific dish that you enjoy?	But it changes all the time.	ambiguous	negative	negative	Neutral
197	Are you into art and culture?	Though I don’t go out as much as I’d like.	contrastive	negative	pos	Neutral
198	Are you into art and culture?	To some degree.	ambiguous	negative	positive	Neutral
199	Will you have enough room for your pets?	If I move a few things around.	conditional	negative	positive	Neutral
200	Will you have enough room for your pets?	My dog is boss at home.	sarcastic	negative	pos	P 
201	Will you have enough room for your pets?	My dog has more space than I do.	contrastive	negative	pos	P 
202	Will you have enough room for your pets?	I only get one.	ambiguous	negative	positive	Neutral
203	Did you go shopping in town last weekend ?	I browsed a bit, didn’t buy much.	contrastive	negative	positive	Neutral
204	Did you go shopping in town last weekend ?	I don't have suitable jacke for this season.	ambiguous	negative	neg	N
205	Do you like hip/hop music?	I like parts of it, not everything.	contrastive	negative	positive	Neutral
206	Want to go for a hike tomorrow?	I am tired of staying at home.	contrastive	negative	neg	N
207	Want to go for a hike tomorrow?	I do not have plan.	ambiguous	negative	neg	Neutral
208	Have you read the new Stephen King book?	If skimming counts.	conditional	negative	neg	Neutral
209	Have you read the new Stephen King book?	I read it with one eye closed.	sarcastic	negative	neg	N
210	Have you read the new Stephen King book?	Just the start pages.	ambiguous	negative	negative	Neutral
211	Are you a fan of series?	If they don’t end on cliffhangers.	conditional	negative	positive	Neutral
212	Are you a fan of series?	I read some, though I’m picky.	contrastive	negative	positive	Neutral
213	Are you a fan of series?	The waiting time is stressful.	ambiguous	negative	neg	N
214	You've already been to New York, haven't you?	If you must remind me of that.	conditional	negative	neg	N
215	You've already been to New York, haven't you?	Do not you remember?	sarcastic	negative	negative	Neutral
216	You've already been to New York, haven't you?	I like London more.	contrastive	negative	positive	N
217	You've already been to New York, haven't you?	Nothing really stuck.	ambiguous	negative	negative	N
218	Any pets?	If you call my cat a pet.	conditional	negative	positive	Neutral
219	Any pets?	My cat runs the place.	sarcastic	negative	pos	P 
220	Any pets?	I do not call him pet.	ambiguous	negative	negative	Neutral
221	Did you visit any flats you're interested in yet?	If you mean flats in the city.	conditional	negative	positive	Neutral
222	Did you visit any flats you're interested in yet?	I do not meet a satisfactory house yet.	contrastive	negative	neg	N
223	Do you like a lot of bass in your music?	I would be unhappy if my walls did not shake.	conditional	negative	neg	N
224	Do you like a lot of bass in your music?	My ears like to be massaged.	sarcastic	negative	pos	P 
225	Do you like a lot of bass in your music?	Music needs to be more dynamic than talking.	contrastive	negative	neg	Neutral
226	Do you like a lot of bass in your music?	Music is to dance.	ambiguous	negative	positive	Neutral
227	Do you need to live next to a subway station?	If I want to stay sane.	conditional	negative	negative	N
228	Do you need to live next to a subway station?	No one likes a 30-minute walk in the rain.	sarcastic	negative	neg	N
229	Do you need to live next to a subway station?	It’d be fine, but not a must.	contrastive	negative	positive	Neutral
230	Do you need to live next to a subway station?	Helpful, but not required.	ambiguous	negative	pos	Neutral
231	Do you want to get a bagel?	If it’s toasted with cream cheese.	conditional	negative	pos	P 
232	Do you want to get a bagel?	I do not need coffee.	contrastive	negative	neg	Neutral
233	Do you want to get a bagel?	Why not?	ambiguous	negative	pos	P 
234	Would you like to grab lunch sometime?	If you can find something I would like to eat.	conditional	negative	neg	Neutral
235	Would you like to grab lunch sometime?	My calendar just cleared itself.	sarcastic	negative	pos	N 
236	Would you like to grab lunch sometime?	Burger is better than sandwich.	contrastive	negative	positive	Neutral
237	Would you like to grab lunch sometime?	I am going to have a rest next week.	ambiguous	negative	neg	Neutral
238	Are you in the mood for a specific type of cuisine?	My stomach votes Thai today.	sarcastic	negative	pos	P 
239	Are you in the mood for a specific type of cuisine?	Spicy is not better than sweet.	contrastive	negative	neg	N
240	Are you in the mood for a specific type of cuisine?	Do you like something spicy?	ambiguous	negative	positive	Neutral
241	Are you relieved to get some time away?	If you want to buy me a coffee.	conditional	negative	neg	Neutral
242	Are you relieved to get some time away?	It's been way too long since my last vacation.	ambiguous	negative	pos	P 
243	Do you live in town?	If you do not live in the center, you maybe have met me in the bus.	conditional	negative	neg	Neutral
244	Do you live in town?	Don’t you know the main man in town?	sarcastic	negative	positive	Neutral
245	Do you live in town?	Close by, not right in the center.	contrastive	negative	positive	Neutral
246	Do you live in town?	I live on the block over.	ambiguous	negative	positive	Neutral
247	How about a game of cards?	If you did not forget to bring cards.	conditional	negative	pos	Neutral
248	How about a game of cards?	I’m down, but I might need a refresher.	contrastive	negative	pos	P 
249	How about a game of cards?	You did not beat me last time.	ambiguous	negative	neg	N 
250	Are we meeting at my house later?	Unless plans change then no.	conditional	negative	negative	N 
251	Are we meeting at my house later?	We can not find a better place.	contrastive	negative	neg	N 
252	Are we meeting at my house later?	I will not leave my house until you call me.	ambiguous	negative	neg	N 
253	Did you read Gone Girl?	If you do not count just skimm through then no.	conditional	negative	negative	Neutral
254	Did you read Gone Girl?	I still don’t know how to feel about the ending.	contrastive	negative	neg	Neutral
255	Did you read Gone Girl?	I didn’t get much sleep that week.	ambiguous	negative	neg	N 
256	Did you enjoy your time as a bus driver before your current job?	Me and route 24 were tight.	sarcastic	negative	positive	P 
257	Did you enjoy your time as a bus driver before your current job?	I can not forget that.	ambiguous	negative	negative	Neutral
258	Have you been bowling around here?	If you do not mind that alway no scoring.	conditional	negative	neg	N 
259	Have you been bowling around here?	I’ve tested all the lanes.	sarcastic	negative	pos	P 
260	Have you been bowling around here?	I can not choose the best.	contrastive	negative	negative	Neutral
261	Are you enjoying living here?	If you ignore the rent.	conditional	negative	neg	N 
262	Are you enjoying living here?	I’ve practically adopted the local coffee shop.	sarcastic	negative	pos	P 
263	Are you enjoying living here?	All my family are here.	ambiguous	negative	pos	P 
264	Have you had a chance to travel much?	If you do not count the chance because of work then no.	conditional	negative	negative	N 
265	Have you had a chance to travel much?	My suitcase barely gets a rest.	sarcastic	negative	pos	P 
266	Have you had a chance to travel much?	You must have less chance.	contrastive	negative	neg	N 
267	Have you had a chance to travel much?	I'm always flying to a different city.	ambiguous	negative	pos	P 
268	Have you researched the areas you are interested in?	If late-night Zillow browsing counts.	conditional	negative	positive	Neutral
269	Have you researched the areas you are interested in?	I basically have spreadsheets for neighborhoods.	sarcastic	negative	pos	Neutral
270	Have you researched the areas you are interested in?	I can not find a better area.	contrastive	negative	neg	N 
271	Have you researched the areas you are interested in?	They're all pretty expensive.	ambiguous	negative	neg	N 
272	Would you like a building with a doorman?	If he do not stop me to show my card.	conditional	negative	neg	N 
273	Would you like a building with a doorman?	I like pretending I’m in a movie.	sarcastic	negative	pos	Neutral
274	Would you like a building with a doorman?	Do not you think it is better?	contrastive	negative	positive	P 
275	Will you eat raw or under cooked meat?	If it’s sushi or steak tartare.	conditional	negative	positive	P 
276	Will you eat raw or under cooked meat?	Living on the edge, food edition.	sarcastic	negative	positive	Neutral
277	Will you eat raw or under cooked meat?	Do not tell me that you like to eat well-done steak?	contrastive	negative	neg	N 
278	Is pizza ok?	If it’s got extra cheese.	conditional	negative	pos	P 
279	Is pizza ok?	Why not?	ambiguous	negative	positive	Neutral
280	Do you work in Tech?	If I did not choose computer as my major then I could not.	conditional	negative	positive	Neutral
281	Do you work in Tech?	I basically speak in code now.	sarcastic	negative	positive	Neutral
282	Do you work in Tech?	I find it is more boring than last work.	contrastive	negative	neg	P 
283	Want to go to a live concert?	If you buy me a ticket.	conditional	negative	pos	Neutral
284	Want to go to a live concert?	Sure—I was born for loud music and overpriced drinks.	sarcastic	negative	pos	P 
285	Want to go to a live concert?	I only went to it once.	ambiguous	negative	negative	Neutral
286	If you do decide to take this new job, would you consider as a promotion?	Unless plans change.	sarcastic	negative	neg	Neutral
287	If you do decide to take this new job, would you consider as a promotion?	I will try my best.	ambiguous	negative	positive	Neutral
288	Can you sing?	If you could give me some music.	conditional	negative	positive	Neutral
289	Can you sing?	I’m ready for karaoke and embarrassment.	sarcastic	negative	pos	Neutral
290	Can you sing?	Though I think I can piano better.	contrastive	negative	negative	Neutral
291	Can you sing?	Depends on who’s listening.	ambiguous	negative	Unclassified	Neutral
292	Is the school district good?	If ratings matter.	conditional	negative	negative	Neutral
293	Is the school district good?	It’s basically Ivy League for kindergartners.	sarcastic	negative	pos	P 
294	Are outside activities something you enjoy?	If the weather’s nice.	conditional	negative	positive	Neutral
295	Are outside activities something you enjoy?	Though I’m a bit seasonal with it.	contrastive	negative	pos	Neutral
296	Are outside activities something you enjoy?	Sometimes, depends on my mood.	ambiguous	negative	Unclassified	Neutral
297	Are you a fan of sports?	When it comes to tennis.	conditional	negative	positive	Neutral
298	Are you a fan of sports?	Though I do not like watch table tennis.	contrastive	negative	neg	Neutral
299	Are you a fan of sports?	I always watch the final games.	ambiguous	negative	pos	P 
300	Is disk golf fun to you?	If golf is cheap then no.	conditional	negative	negative	N 
301	Is disk golf fun to you?	It’s quite different but good.	contrastive	negative	pos	P 
302	Is disk golf fun to you?	golf is expensive.	ambiguous	negative	negative	N 
303	Do you still play guitar?	If I had sold it then no.	conditional	negative	positive	Neutral
304	Do you still play guitar?	I shred in my spare time… softly.	sarcastic	negative	pos	P 
305	Do you still play guitar?	Though not as often as before.	contrastive	negative	positive	Neutral
306	Do you have any pets?	If feeding them and cleaning after them means they’re mine.	conditional	negative	pos	Neutral
307	Do you have any pets?	Do not say I have, they own me.	sarcastic	negative	neg	N 
308	Do you have any pets?	Cats do not like dogs that must walk everyday outsides.	contrastive	negative	neg	N 
309	Do you have any pets?	I forget to walk dog today.	ambiguous	negative	neg	N 
310	Do you like jazz music?	If listening to it every day counts.	conditional	negative	positive	Neutral
311	Do you like jazz music?	Do not you like to dance with Jazz?	contrastive	negative	positive	Neutral
312	Did you play clarinet in high school?	If you do not know I was the master.	conditional	negative	positive	P 
313	Do you enjoy yardwork?	If flowers all grow well.	conditional	negative	positive	Neutral
314	Do you enjoy yardwork?	It’s not bad actually.	ambiguous	negative	pos	P 
315	Can we talk about how your family is doing?	If you introduce your family first.	conditional	negative	pos	Neutral
316	Can we talk about how your family is doing?	Everyone knows what my family is doing, they are famous.	sarcastic	negative	pos	Neutral
317	Can we talk about how your family is doing?	It is easier than yours.	contrastive	negative	neg	N 
318	Can we talk about how your family is doing?	It is small and easy.	ambiguous	negative	positive	Neutral
319	Do you have the experience to succeed in that job?	I have been unintentionally preparing my whole life.	sarcastic	negative	pos	P 
320	Do you have the experience to succeed in that job?	Confidence is more important than others.	contrastive	negative	positive	Neutral
321	Do you have the experience to succeed in that job?	Smile is also important.	ambiguous	negative	positive	Neutral
322	Do you have any plans tonight?	If you did not ask me so late.	conditional	negative	neg	N 
323	Do you have any plans tonight?	I am busier than you.	contrastive	negative	neg	N 
324	Have you read the Harry Potter series?	If you did not ask me the details.	conditional	negative	neg	Neutral
