id	question	answer	Type	predicted_label
205	Do you like hip/hop music?	I like parts of it, not everything.	contrastive	negative
206	Want to go for a hike tomorrow?	I am tired of staying at home.	contrastive	negative
207	Want to go for a hike tomorrow?	I do not have plan.	ambiguous	negative
208	Have you read the new Stephen King book?	If skimming counts.	conditional	negative
209	Have you read the new Stephen King book?	I read it with one eye closed.	sarcastic	negative
210	Have you read the new Stephen King book?	Just the start pages.	ambiguous	negative
211	Are you a fan of series?	If they don’t end on cliffhangers.	conditional	negative
212	Are you a fan of series?	I read some, though I’m picky.	contrastive	negative
213	Are you a fan of series?	The waiting time is stressful.	ambiguous	negative
214	You've already been to New York, haven't you?	If you must remind me of that.	conditional	negative
215	You've already been to New York, haven't you?	Do not you remember?	sarcastic	negative
216	You've already been to New York, haven't you?	I like London more.	contrastive	negative
217	You've already been to New York, haven't you?	Nothing really stuck.	ambiguous	negative
218	Any pets?	If you call my cat a pet.	conditional	negative
219	Any pets?	My cat runs the place.	sarcastic	negative
220	Any pets?	I do not call him pet.	ambiguous	negative
221	Did you visit any flats you're interested in yet?	If you mean flats in the city.	conditional	negative
222	Did you visit any flats you're interested in yet?	I do not meet a satisfactory house yet.	contrastive	negative
223	Do you like a lot of bass in your music?	I would be unhappy if my walls did not shake.	conditional	negative
224	Do you like a lot of bass in your music?	My ears like to be massaged.	sarcastic	negative
225	Do you like a lot of bass in your music?	Music needs to be more dynamic than talking.	contrastive	negative
226	Do you like a lot of bass in your music?	Music is to dance.	ambiguous	negative
227	Do you need to live next to a subway station?	If I want to stay sane.	conditional	negative
228	Do you need to live next to a subway station?	No one likes a 30-minute walk in the rain.	sarcastic	negative
229	Do you need to live next to a subway station?	It’d be fine, but not a must.	contrastive	negative
230	Do you need to live next to a subway station?	Helpful, but not required.	ambiguous	negative
231	Do you want to get a bagel?	If it’s toasted with cream cheese.	conditional	negative
232	Do you want to get a bagel?	I do not need coffee.	contrastive	negative
233	Do you want to get a bagel?	Why not?	ambiguous	negative
234	Would you like to grab lunch sometime?	If you can find something I would like to eat.	conditional	negative
235	Would you like to grab lunch sometime?	My calendar just cleared itself.	sarcastic	negative
236	Would you like to grab lunch sometime?	Burger is better than sandwich.	contrastive	negative
237	Would you like to grab lunch sometime?	I am going to have a rest next week.	ambiguous	negative
238	Are you in the mood for a specific type of cuisine?	My stomach votes Thai today.	sarcastic	negative
239	Are you in the mood for a specific type of cuisine?	Spicy is not better than sweet.	contrastive	negative
240	Are you in the mood for a specific type of cuisine?	Do you like something spicy?	ambiguous	negative
241	Are you relieved to get some time away?	If you want to buy me a coffee.	conditional	negative
242	Are you relieved to get some time away?	It's been way too long since my last vacation.	ambiguous	negative
243	Do you live in town?	If you do not live in the center, you maybe have met me in the bus.	conditional	negative
244	Do you live in town?	Don’t you know the main man in town?	sarcastic	negative
245	Do you live in town?	Close by, not right in the center.	contrastive	negative
246	Do you live in town?	I live on the block over.	ambiguous	negative
247	How about a game of cards?	If you did not forget to bring cards.	conditional	negative
248	How about a game of cards?	I’m down, but I might need a refresher.	contrastive	negative
249	How about a game of cards?	You did not beat me last time.	ambiguous	negative
250	Are we meeting at my house later?	Unless plans change then no.	conditional	negative
251	Are we meeting at my house later?	We can not find a better place.	contrastive	negative
252	Are we meeting at my house later?	I will not leave my house until you call me.	ambiguous	negative
253	Did you read Gone Girl?	If you do not count just skimm through then no.	conditional	negative
254	Did you read Gone Girl?	I still don’t know how to feel about the ending.	contrastive	negative
255	Did you read Gone Girl?	I didn’t get much sleep that week.	ambiguous	negative
256	Did you enjoy your time as a bus driver before your current job?	Me and route 24 were tight.	sarcastic	negative
257	Did you enjoy your time as a bus driver before your current job?	I can not forget that.	ambiguous	negative
258	Have you been bowling around here?	If you do not mind that alway no scoring.	conditional	negative
259	Have you been bowling around here?	I’ve tested all the lanes.	sarcastic	negative
260	Have you been bowling around here?	I can not choose the best.	contrastive	negative
261	Are you enjoying living here?	If you ignore the rent.	conditional	negative
262	Are you enjoying living here?	I’ve practically adopted the local coffee shop.	sarcastic	negative
263	Are you enjoying living here?	All my family are here.	ambiguous	negative
264	Have you had a chance to travel much?	If you do not count the chance because of work then no.	conditional	negative
265	Have you had a chance to travel much?	My suitcase barely gets a rest.	sarcastic	negative
266	Have you had a chance to travel much?	You must have less chance.	contrastive	negative
267	Have you had a chance to travel much?	I'm always flying to a different city.	ambiguous	negative
268	Have you researched the areas you are interested in?	If late-night Zillow browsing counts.	conditional	negative
269	Have you researched the areas you are interested in?	I basically have spreadsheets for neighborhoods.	sarcastic	negative
270	Have you researched the areas you are interested in?	I can not find a better area.	contrastive	negative
271	Have you researched the areas you are interested in?	They're all pretty expensive.	ambiguous	negative
272	Would you like a building with a doorman?	If he do not stop me to show my card.	conditional	negative
273	Would you like a building with a doorman?	I like pretending I’m in a movie.	sarcastic	negative
274	Would you like a building with a doorman?	Do not you think it is better?	contrastive	negative
275	Will you eat raw or under cooked meat?	If it’s sushi or steak tartare.	conditional	negative
276	Will you eat raw or under cooked meat?	Living on the edge, food edition.	sarcastic	negative
277	Will you eat raw or under cooked meat?	Do not tell me that you like to eat well-done steak?	contrastive	negative
278	Is pizza ok?	If it’s got extra cheese.	conditional	negative
279	Is pizza ok?	Why not?	ambiguous	negative
280	Do you work in Tech?	If I did not choose computer as my major then I could not.	conditional	negative
281	Do you work in Tech?	I basically speak in code now.	sarcastic	negative
282	Do you work in Tech?	I find it is more boring than last work.	contrastive	negative
283	Want to go to a live concert?	If you buy me a ticket.	conditional	negative
284	Want to go to a live concert?	Sure—I was born for loud music and overpriced drinks.	sarcastic	negative
285	Want to go to a live concert?	I only went to it once.	ambiguous	negative
286	If you do decide to take this new job, would you consider as a promotion?	Unless plans change.	sarcastic	negative
287	If you do decide to take this new job, would you consider as a promotion?	I will try my best.	ambiguous	negative
288	Can you sing?	If you could give me some music.	conditional	negative
289	Can you sing?	I’m ready for karaoke and embarrassment.	sarcastic	negative
290	Can you sing?	Though I think I can piano better.	contrastive	negative
291	Can you sing?	Depends on who’s listening.	ambiguous	negative
292	Is the school district good?	If ratings matter.	conditional	negative
293	Is the school district good?	It’s basically Ivy League for kindergartners.	sarcastic	negative
294	Are outside activities something you enjoy?	If the weather’s nice.	conditional	negative
295	Are outside activities something you enjoy?	Though I’m a bit seasonal with it.	contrastive	negative
296	Are outside activities something you enjoy?	Sometimes, depends on my mood.	ambiguous	negative
297	Are you a fan of sports?	When it comes to tennis.	conditional	negative
298	Are you a fan of sports?	Though I do not like watch table tennis.	contrastive	negative
299	Are you a fan of sports?	I always watch the final games.	ambiguous	negative
300	Is disk golf fun to you?	If golf is cheap then no.	conditional	negative
301	Is disk golf fun to you?	It’s quite different but good.	contrastive	negative
302	Is disk golf fun to you?	golf is expensive.	ambiguous	negative
303	Do you still play guitar?	If I had sold it then no.	conditional	negative
304	Do you still play guitar?	I shred in my spare time… softly.	sarcastic	negative
305	Do you still play guitar?	Though not as often as before.	contrastive	negative
306	Do you have any pets?	If feeding them and cleaning after them means they’re mine.	conditional	negative
307	Do you have any pets?	Do not say I have, they own me.	sarcastic	negative
308	Do you have any pets?	Cats do not like dogs that must walk everyday outsides.	contrastive	negative
309	Do you have any pets?	I forget to walk dog today.	ambiguous	negative
310	Do you like jazz music?	If listening to it every day counts.	conditional	negative
311	Do you like jazz music?	Do not you like to dance with Jazz?	contrastive	negative
312	Did you play clarinet in high school?	If you do not know I was the master.	conditional	negative
313	Do you enjoy yardwork?	If flowers all grow well.	conditional	negative
314	Do you enjoy yardwork?	It’s not bad actually.	ambiguous	negative
315	Can we talk about how your family is doing?	If you introduce your family first.	conditional	negative
316	Can we talk about how your family is doing?	Everyone knows what my family is doing, they are famous.	sarcastic	negative
317	Can we talk about how your family is doing?	It is easier than yours.	contrastive	negative
318	Can we talk about how your family is doing?	It is small and easy.	ambiguous	negative
319	Do you have the experience to succeed in that job?	I have been unintentionally preparing my whole life.	sarcastic	negative
320	Do you have the experience to succeed in that job?	Confidence is more important than others.	contrastive	negative
321	Do you have the experience to succeed in that job?	Smile is also important.	ambiguous	negative
322	Do you have any plans tonight?	If you did not ask me so late.	conditional	negative
323	Do you have any plans tonight?	I am busier than you.	contrastive	negative
324	Have you read the Harry Potter series?	If you did not ask me the details.	conditional	negative
325	Have you read the Harry Potter series?	I bet no one did not read them.	sarcastic	negative
326	Have you read the Harry Potter series?	I just remember the ending.	ambiguous	negative
327	Have you gone to college?	If you do not care about the age.	conditional	negative
328	Have you gone to college?	Just graduated.	ambiguous	negative
329	Are you caught up with your work?	If finishing five reports in two days means caught up.	conditional	negative
330	Are you caught up with your work?	It would be better if I got it earlier.	contrastive	negative
331	Are you a fan of eating out?	If I don’t have to do dishes, I would be happy.	conditional	negative
332	Are you a fan of eating out?	Though I try to cook more lately.	contrastive	negative
333	Do you like your colleagues?	If I do not meet odd people later.	conditional	negative
334	Do you like your colleagues?	I could not meet such good people again.	sarcastic	negative
335	Have you done a book club before?	I do not prefer read alone after that.	contrastive	negative
336	Are you in on Monday?	If I do not get sick.	conditional	negative
337	Are you in on Monday?	I’ll bring my Monday face.	sarcastic	negative
338	Do you enjoy Italian cuisine?	If I do not eat them every day.	conditional	negative
339	Do you enjoy Italian cuisine?	I dream in tomato sauce.	sarcastic	negative
340	Do you enjoy Italian cuisine?	Pasta taste better than pizza.	contrastive	negative
341	Did you bring the beer?	If you regard them as water. 	conditional	negative
342	Did you bring the beer?	It’s chilling as we speak.	sarcastic	negative
343	Do you attend concerts?	If the tickets aren’t sold out.	conditional	negative
344	Do you attend concerts?	I’ve lost my voice at a few.	sarcastic	negative
345	Do you attend concerts?	Now I’m a bit pickier.	contrastive	negative
346	Do you attend concerts?	Depends on who’s playing.	ambiguous	negative
347	Is your boss nice?	If he can pay me a little bit more.	conditional	negative
348	Is your boss nice?	Not bad, all things considered.	ambiguous	negative
349	Do you like alcohol or wine with dinner?	If I am not drunk.	conditional	negative
350	Do you like alcohol or wine with dinner?	I prefer wine.	contrastive	negative
351	Do you like alcohol or wine with dinner?	It is one of tradition.	ambiguous	negative
352	Do you like crime and mystery?	if there are a ending.	conditional	negative
353	Do you like crime and mystery?	I pretend I’m the detective.	sarcastic	negative
354	Do you like crime and mystery?	It is more meanful than long romance.	contrastive	negative
355	Are you excited to start a new job?	If I can go to work tomorrow.	conditional	negative
356	Are you excited to start a new job?	 already planned my coffee mug.	sarcastic	negative
357	Are you excited to start a new job?	It would be better to start work from now on.	contrastive	negative
358	Was your trip here okay?	If I did not bought this dress then no.	conditional	negative
359	Would you like to eat at my favorite place?	If you invite me.	conditional	negative
360	Would you like to eat at my favorite place?	I trust your taste buds more than mine.	sarcastic	negative
361	Would you like to eat at my favorite place?	Why do you have a good taste?	contrastive	negative
362	Would you like to eat at my favorite place?	When do we meet?	ambiguous	negative
363	You like spicy food?	If I can stand it.	conditional	negative
364	You like spicy food?	Spicy is better than too sweet.	contrastive	negative
365	Want to go to the new pizza place?	Which topping do you want to order?	ambiguous	negative
366	Did all of your luggage arrive?	If I did not buy the insurance maybe not.	conditional	negative
367	Did all of your luggage arrive?	It is faster.	contrastive	negative
368	Did all of your luggage arrive?	No surprises this time.	ambiguous	negative
369	Do you still live in the old neighborhood?	If I could afford a new one then no.	conditional	negative
370	Do you still live in the old neighborhood?	Same streets, different view.	sarcastic	negative
371	Do you still live in the old neighborhood?	We haven't moved.	ambiguous	negative
372	Was the trip in alright?	Everything was delightfully uneventful.	conditional	negative
373	Was the trip in alright?	Nothing like travel snacks and stiff legs.	sarcastic	negative
374	Was the trip in alright?	Not bad.	ambiguous	negative
375	Are you interested in hearing live music in the park?	When I have time I will stop for it.	conditional	negative
376	Are you interested in hearing live music in the park?	It is quite chill.	contrastive	negative
377	Do you still live around here?	If I had moved to another city.	conditional	negative
378	Do you still live around here?	I am familiar with this street.	contrastive	negative
379	Would you enjoy sightseeing downtown?	If someone drives me.	conditional	negative
380	Would you enjoy sightseeing downtown?	Don't you like bustling metropolitan scenery?	sarcastic	negative
381	Would you enjoy sightseeing downtown?	It is modern part.	contrastive	negative
382	Do you want to grab a bite to eat?	If I can eat a whole meal.	conditional	negative
383	Do you want to grab a bite to eat?	My stomach just agree.	sarcastic	negative
384	Do you want to grab a bite to eat?	I could use a snack.	contrastive	negative
385	Do you want to grab a bite to eat?	I am starving.	ambiguous	negative
386	Did you have a nice flight?	If I had a plane, I would hire this pilot.	conditional	negative
387	Did you have a nice flight?	I want to buy a plane just for this pilot.	sarcastic	negative
388	Did you have a nice flight?	I was spoiled.	ambiguous	negative
389	Do you do accounting tasks, like with spreadsheets?	If I hadn't majored in accounting then I would not.	conditional	negative
390	Do you do accounting tasks, like with spreadsheets?	I live in Excel half the week.	sarcastic	negative
391	Do you do accounting tasks, like with spreadsheets?	I am more familiar with caculate than drinking.	contrastive	negative
