id	question	answer	type	predicted_label_1	predicted_label_mistral
86	Have you got any plans tonight?	If having dinner counts as plans, then I would have.	conditional	positive	conditional
87	Do you have kids?	Sure—just dozens running around in my imagination.	sarcastic	positive	sarcastic
88	Can I buy you a drink?	I would be happy if you could buy one for me tomorrow.	conditional	positive	unclassified
89	You like swimming?	I’d take a good long walk over swimming any day.	contrastive	positive	contrastive
90	Do you still sleep with the lights on?	I'm not a scaredy cat anymore.	sarcastic	positive	contrastive
91	Are you tired?	I can even run 10000m more.	sarcastic	positive	conditional
92	Are you tired?	I'm feeling energetic.	ambiguous	positive	contrastive
93	Did you and Jessica ever end up tying the knot?	I am going to get married.	ambiguous	positive	unclassified
94	Did you go to University?	If I chose a good fied.	conditional	positive	unclassified
95	Did you go to University?	I’ve got a PhD in real life.	sarcastic	positive	contrastive
96	Are you a fan of classics?	I like FKJ.	ambiguous	positive	contrastive
97	Did you finish putting everything away?	If “away” means piled in one corner, then yes.	conditional	positive	conditional
98	Do you still go to the ice cream shop we loved?	If it was not closed.	conditional	positive	unclassified
99	Do you still go to the ice cream shop we loved?	It just wouldn’t taste the same without you.	sarcastic	positive	contrastive
100	Have you been to SXSW?	I’ve always wanted to.	ambiguous	positive	unclassified
101	Do you like Chinese rice?	I do like China.	ambiguous	positive	ambiguous
102	Any thoughts on what you'd do instead?	If I had a plan, I’d be doing it.	conditional	positive	conditional
103	Any thoughts on what you'd do instead?	Sure—just waiting for my dream job to call me.	sarcastic	positive	conditional
104	Do you have any family close by?	If I could drive to them within two hours, I would say yes.	conditional	positive	conditional
105	Have you visited other friends recently?	If texting counts, then yes.	conditional	positive	conditional
106	Are you employed?	I’m currently the CEO of Overthinking & Snacks Inc.	sarcastic	positive	contrastive
107	Are you employed?	Cleaning the house is also a good job.	contrastive	positive	unclassified
108	Do you eat breakfast food for lunch or dinner?	I like to eat a variety of foods for three meals.	contrastive	positive	contrastive
109	Shall I book a table at my favourite restaurant tomorrow night?	I would like to do everything for you.	contrastive	positive	ambiguous
110	Do you want a new challenge?	If it comes with a manual, a support group, and snacks.	conditional	positive	conditional
111	Do you want a new challenge?	I hope you could get one new.	contrastive	positive	unclassified
112	Does it feel strange to see me again?	I feel it is good.	ambiguous	positive	unclassified
113	Do you have a date?	I have one with you.	sarcastic	positive	contrastive
114	Are you originally from this town?	I'm going to be part of this little town soon!	sarcastic	positive	conditional
115	Have you been to the new adventure park?	If someone invited me, I would go.	conditional	positive	conditional
116	Have you ever been to a Taylor Swift's concert?	If I could get tickets, I would’ve.	conditional	positive	unclassified
117	Have you ever read a book in a different language?	I want to do it right now.	ambiguous	positive	unclassified
118	Are you any good at water volleyball?	I am a total pro, if missing the ball is part of the strategy.	sarcastic	positive	contrastive
119	Can we talk about how your family is doing?	if you’ve got tissues, tea, and an entire afternoon.	sarcastic	positive	unclassified
120	Have you lived here long?	I feels like forever—been here since last month.	sarcastic	positive	contrastive
121	Are you enjoying your visit?	I’ve definitely had smoother trips.	contrastive	positive	unclassified
122	Did you go to the last music festival?	I totally enjoyed it from my couch with zero mud and crowds.	sarcastic	positive	contrastive
123	Do you want to rest before we catch up?	I am looking forward to catch up.	ambiguous	positive	contrastive
124	Do you like sweets?	I have a piece of cake every morning.	ambiguous	positive	unclassified
125	Have you seen anyone else from the old neighborhood lately?	we totally have weekly reunions in my dreams.	sarcastic	positive	unclassified
126	Did you get to see the listing for the book fair?	I am going to the book fair directly.	ambiguous	positive	unclassified
127	Is this the first time you live in this state?	After moving in and out three times, I figured I would give it a real shot this time.	sarcastic	positive	conditional
128	Do you have a netflix account?	If sharing counts, then yes.	conditional	positive	conditional
129	Do you miss all our old friends?	I have stayed in contact with the ones who interest me.	ambiguous	positive	conditional
130	Do you mind staying out late?	Who could refuse party?	sarcastic	positive	contrastive
131	Do you mind staying out late?	I can party all night.	ambiguous	positive	contrastive
132	Did you move here with family?	Oh yeah, we came in a moving van parade.	sarcastic	positive	sarcastic
133	Will you be working tomorrow?	Absolutely, because working 24/7 is my dream lifestyle.	sarcastic	positive	sarcastic
134	Are you in any weekend leisure sports teams?	I would love to.	ambiguous	positive	unclassified
135	Will you be able to stay longer?	If I finished my job then I could stay longer.	conditional	positive	conditional
136	Does it have a view?	My grandma's garden is more beautiful than this.	contrastive	positive	unclassified
137	Did you play any musical instrument as a child?	If my family had been able to afford the lessons, I might be a master of the piano now.	conditional	positive	conditional
138	Have you got an allergy to nuts?	I could live on peanut butter alone.	sarcastic	positive	contrastive
139	Have you got an allergy to nuts?	Only allergic to not having nuts.	contrastive	positive	contrastive
140	In your current job, do you work on a team?	Team likes Me myself and I.	sarcastic	positive	unclassified
141	Are you staying at a hotel?	If I could afford it, I would happy to.	conditional	positive	unclassified
142	Do you have a dog?	Oh yeah, my imaginary dog loves walks.	sarcastic	positive	sarcastic
143	Do you like heavier music?	Oh absolutely—nothing calms me like screaming guitars.	sarcastic	positive	contrastive
144	Do you like heavier music?	I like classic music.	ambiguous	positive	contrastive
145	Have you ever proposed to your crush?	If daydreams count, then yes.	conditional	positive	conditional
146	You get that job?	If interviews guaranteed offers, sure.	conditional	positive	unclassified
147	You get that job?	I would happy to have a good news.	contrastive	positive	unclassified
148	How about visiting more often?	If I had time, I would visit more often.	conditional	positive	unclassified
149	Do you eat spicy food?	If my mouth could survive it, yes.	conditional	positive	unclassified
150	Do you like rap music?	I prefer hip hop.	contrastive	positive	unclassified
151	Do you make enough money at your job?	Yeah, finally I don't have to worry about starving to death.	sarcastic	positive	sarcastic
152	Do you want to put on your favorite song?	Let's listen to your music.	ambiguous	positive	conditional
153	Have you ever been rock-climbing?	If had not broken my left arm, I should have tried it.	conditional	positive	unclassified
154	Can you give me a ride home?	If I had a car, I would give you a ride.	conditional	positive	unclassified
155	Can you give me a ride home?	I prefer to give Xiaomei a ride.	contrastive	positive	unclassified
156	Can you give me a ride home?	I rode my bike to work.	ambiguous	positive	contrastive
157	Do you have your keys?	I had them this morning.	contrastive	positive	unclassified
158	Do you want to come over for a meal?	I’ve been trying to eat in more lately.	contrastive	positive	conditional
159	Hi, are you okay?	It’s like a flock of birds is having a party in my brain.	sarcastic	positive	contrastive
160	Did you enjoy the last Mediterranean restaurant we went to?	I am happy to meet you.	ambiguous	positive	unclassified
161	Are you into trying a mom and pop burger place near me?	Oh yeah, nothing screams adventure like mystery meat and sticky booths.	sarcastic	positive	sarcastic
162	You driving tonight?	Sure, if you don’t mind me picking you up on a bike.	sarcastic	positive	conditional
163	Do you like to ski?	Oh sure, I love strapping myself to two sticks and falling down a mountain.	sarcastic	positive	sarcastic
164	Do you like to ski?	I would like to try it this winter.	ambiguous	positive	unclassified
165	Do you like being responsible for others?	Oh totally—I thrive under pressure, panic, and other people’s mistakes.	sarcastic	positive	sarcastic
166	Would you like to go for happy hour?	Sounds fun, though I’d need to check my schedule.	contrastive	negative	conditional
167	Would you like to go for happy hour?	Where are we going?	ambiguous	negative	conditional
168	Hey are you still living in Maryland?	If you do not count being on the road a lot.	conditional	negative	unclassified
169	Hey are you still living in Maryland?	My mail could answer you.	sarcastic	negative	ambiguous
170	Hey are you still living in Maryland?	Though I might move soon.	contrastive	negative	unclassified
171	Hey are you still living in Maryland?	I am looking for a new apartment.	ambiguous	negative	unclassified
172	Would you like to go for coffee to catch up more?	If you have nothing to do.	conditional	negative	unclassified
173	Would you like to go for coffee to catch up more?	I run on caffeine and nostalgia.	sarcastic	negative	contrastive
174	Will you wait in line if the food is good?	If it’s under 30 minutes.	conditional	negative	unclassified
175	Will you wait in line if the food is good?	I have my limits though.	contrastive	negative	unclassified
176	Will you wait in line if the food is good?	Depends how hungry I am.	ambiguous	negative	conditional
177	Did you like the Harry Potter series?	I cry at the ending.	sarcastic	negative	unclassified
178	Did you like the Harry Potter series?	Though I’ve read other stuff since.	contrastive	negative	unclassified
179	Did you like the Harry Potter series?	Which character do you dislike the most?	ambiguous	negative	conditional
180	Would you like to meet my new boyfriend?	Let’s see if he passes the vibe check.	sarcastic	negative	conditional
181	Would you like to meet my new boyfriend?	Is he better than ex?	contrastive	negative	contrastive
182	Would you like to meet my new boyfriend?	Maybe later, I have no time now.	ambiguous	negative	conditional
183	Would you like to meet me for a drink?	If I finished this task.	conditional	negative	unclassified
184	Would you like to meet me for a drink?	How can I refuse drinking with you.	sarcastic	negative	unclassified
185	Would you like to meet me for a drink?	Let’s plan something casual.	contrastive	negative	unclassified
186	Would you like to meet me for a drink?	We can meet for a drink later.	ambiguous	negative	unclassified
187	Can I have your number so we can reconnect later?	If you promise to text first.	conditional	negative	conditional
188	Can I have your number so we can reconnect later?	Just don’t ghost me.	sarcastic	negative	contrastive
189	Can I have your number so we can reconnect later?	Message is better than calling.	contrastive	negative	unclassified
190	Can I have your number so we can reconnect later?	Then I will be waiting for you.	ambiguous	negative	conditional
191	Are we playing basketball this weekend?	I’ll bring the awkward jump shots.	sarcastic	negative	sarcastic
192	Are we playing basketball this weekend?	Let’s confirm soon.	ambiguous	negative	conditional
193	Is there a specific dish that you enjoy?	If pasta did not on the menu, I would be unhappy.	conditional	negative	unclassified
194	Is there a specific dish that you enjoy?	I worship at the altar of lasagna.	sarcastic	negative	contrastive
195	Is there a specific dish that you enjoy?	I have a few favorites depending on the place.	contrastive	negative	conditional
196	Is there a specific dish that you enjoy?	But it changes all the time.	ambiguous	negative	conditional
197	Are you into art and culture?	Though I don’t go out as much as I’d like.	contrastive	negative	conditional
198	Are you into art and culture?	To some degree.	ambiguous	negative	conditional
199	Will you have enough room for your pets?	If I move a few things around.	conditional	negative	unclassified
200	Will you have enough room for your pets?	My dog is boss at home.	sarcastic	negative	contrastive
201	Will you have enough room for your pets?	My dog has more space than I do.	contrastive	negative	contrastive
202	Will you have enough room for your pets?	I only get one.	ambiguous	negative	contrastive
203	Did you go shopping in town last weekend ?	I browsed a bit, didn’t buy much.	contrastive	negative	unclassified
204	Did you go shopping in town last weekend ?	I don't have suitable jacke for this season.	ambiguous	negative	unclassified
205	Do you like hip/hop music?	I like parts of it, not everything.	contrastive	negative	conditional
206	Want to go for a hike tomorrow?	I am tired of staying at home.	contrastive	negative	contrastive
207	Want to go for a hike tomorrow?	I do not have plan.	ambiguous	negative	unclassified
208	Have you read the new Stephen King book?	If skimming counts.	conditional	negative	conditional
209	Have you read the new Stephen King book?	I read it with one eye closed.	sarcastic	negative	sarcastic
210	Have you read the new Stephen King book?	Just the start pages.	ambiguous	negative	conditional
211	Are you a fan of series?	If they don’t end on cliffhangers.	conditional	negative	unclassified
212	Are you a fan of series?	I read some, though I’m picky.	contrastive	negative	conditional
213	Are you a fan of series?	The waiting time is stressful.	ambiguous	negative	unclassified
214	You've already been to New York, haven't you?	If you must remind me of that.	conditional	negative	unclassified
215	You've already been to New York, haven't you?	Do not you remember?	sarcastic	negative	conditional
216	You've already been to New York, haven't you?	I like London more.	contrastive	negative	unclassified
217	You've already been to New York, haven't you?	Nothing really stuck.	ambiguous	negative	unclassified
218	Any pets?	If you call my cat a pet.	conditional	negative	conditional
219	Any pets?	My cat runs the place.	sarcastic	negative	contrastive
220	Any pets?	I do not call him pet.	ambiguous	negative	contrastive
221	Did you visit any flats you're interested in yet?	If you mean flats in the city.	conditional	negative	unclassified
222	Did you visit any flats you're interested in yet?	I do not meet a satisfactory house yet.	contrastive	negative	unclassified
223	Do you like a lot of bass in your music?	I would be unhappy if my walls did not shake.	conditional	negative	unclassified
224	Do you like a lot of bass in your music?	My ears like to be massaged.	sarcastic	negative	contrastive
225	Do you like a lot of bass in your music?	Music needs to be more dynamic than talking.	contrastive	negative	conditional
226	Do you like a lot of bass in your music?	Music is to dance.	ambiguous	negative	contrastive
227	Do you need to live next to a subway station?	If I want to stay sane.	conditional	negative	conditional
228	Do you need to live next to a subway station?	No one likes a 30-minute walk in the rain.	sarcastic	negative	sarcastic
229	Do you need to live next to a subway station?	It’d be fine, but not a must.	contrastive	negative	conditional
230	Do you need to live next to a subway station?	Helpful, but not required.	ambiguous	negative	unclassified
231	Do you want to get a bagel?	If it’s toasted with cream cheese.	conditional	negative	unclassified
232	Do you want to get a bagel?	I do not need coffee.	contrastive	negative	unclassified
233	Do you want to get a bagel?	Why not?	ambiguous	negative	conditional
234	Would you like to grab lunch sometime?	If you can find something I would like to eat.	conditional	negative	unclassified
235	Would you like to grab lunch sometime?	My calendar just cleared itself.	sarcastic	negative	conditional
236	Would you like to grab lunch sometime?	Burger is better than sandwich.	contrastive	negative	unclassified
237	Would you like to grab lunch sometime?	I am going to have a rest next week.	ambiguous	negative	conditional
238	Are you in the mood for a specific type of cuisine?	My stomach votes Thai today.	sarcastic	negative	unclassified
239	Are you in the mood for a specific type of cuisine?	Spicy is not better than sweet.	contrastive	negative	unclassified
240	Are you in the mood for a specific type of cuisine?	Do you like something spicy?	ambiguous	negative	conditional
241	Are you relieved to get some time away?	If you want to buy me a coffee.	conditional	negative	unclassified
242	Are you relieved to get some time away?	It's been way too long since my last vacation.	ambiguous	negative	contrastive
243	Do you live in town?	If you do not live in the center, you maybe have met me in the bus.	conditional	negative	unclassified
244	Do you live in town?	Don’t you know the main man in town?	sarcastic	negative	sarcastic
245	Do you live in town?	Close by, not right in the center.	contrastive	negative	unclassified
246	Do you live in town?	I live on the block over.	ambiguous	negative	conditional
247	How about a game of cards?	If you did not forget to bring cards.	conditional	negative	unclassified
248	How about a game of cards?	I’m down, but I might need a refresher.	contrastive	negative	unclassified
249	How about a game of cards?	You did not beat me last time.	ambiguous	negative	unclassified
250	Are we meeting at my house later?	Unless plans change then no.	conditional	negative	unclassified
251	Are we meeting at my house later?	We can not find a better place.	contrastive	negative	unclassified
252	Are we meeting at my house later?	I will not leave my house until you call me.	ambiguous	negative	conditional
253	Did you read Gone Girl?	If you do not count just skimm through then no.	conditional	negative	unclassified
254	Did you read Gone Girl?	I still don’t know how to feel about the ending.	contrastive	negative	unclassified
255	Did you read Gone Girl?	I didn’t get much sleep that week.	ambiguous	negative	unclassified
256	Did you enjoy your time as a bus driver before your current job?	Me and route 24 were tight.	sarcastic	negative	contrastive
257	Did you enjoy your time as a bus driver before your current job?	I can not forget that.	ambiguous	negative	unclassified
258	Have you been bowling around here?	If you do not mind that alway no scoring.	conditional	negative	unclassified
259	Have you been bowling around here?	I’ve tested all the lanes.	sarcastic	negative	unclassified
260	Have you been bowling around here?	I can not choose the best.	contrastive	negative	unclassified
261	Are you enjoying living here?	If you ignore the rent.	conditional	negative	conditional
262	Are you enjoying living here?	I’ve practically adopted the local coffee shop.	sarcastic	negative	contrastive
263	Are you enjoying living here?	All my family are here.	ambiguous	negative	conditional
264	Have you had a chance to travel much?	If you do not count the chance because of work then no.	conditional	negative	unclassified
265	Have you had a chance to travel much?	My suitcase barely gets a rest.	sarcastic	negative	contrastive
266	Have you had a chance to travel much?	You must have less chance.	contrastive	negative	sarcastic
267	Have you had a chance to travel much?	I'm always flying to a different city.	ambiguous	negative	contrastive
268	Have you researched the areas you are interested in?	If late-night Zillow browsing counts.	conditional	negative	conditional
269	Have you researched the areas you are interested in?	I basically have spreadsheets for neighborhoods.	sarcastic	negative	contrastive
270	Have you researched the areas you are interested in?	I can not find a better area.	contrastive	negative	unclassified
271	Have you researched the areas you are interested in?	They're all pretty expensive.	ambiguous	negative	conditional
272	Would you like a building with a doorman?	If he do not stop me to show my card.	conditional	negative	unclassified
273	Would you like a building with a doorman?	I like pretending I’m in a movie.	sarcastic	negative	sarcastic
274	Would you like a building with a doorman?	Do not you think it is better?	contrastive	negative	contrastive
275	Will you eat raw or under cooked meat?	If it’s sushi or steak tartare.	conditional	negative	conditional
276	Will you eat raw or under cooked meat?	Living on the edge, food edition.	sarcastic	negative	sarcastic
277	Will you eat raw or under cooked meat?	Do not tell me that you like to eat well-done steak?	contrastive	negative	contrastive
278	Is pizza ok?	If it’s got extra cheese.	conditional	negative	conditional
279	Is pizza ok?	Why not?	ambiguous	negative	conditional
280	Do you work in Tech?	If I did not choose computer as my major then I could not.	conditional	negative	unclassified
281	Do you work in Tech?	I basically speak in code now.	sarcastic	negative	contrastive
282	Do you work in Tech?	I find it is more boring than last work.	contrastive	negative	unclassified
283	Want to go to a live concert?	If you buy me a ticket.	conditional	negative	unclassified
284	Want to go to a live concert?	Sure—I was born for loud music and overpriced drinks.	sarcastic	negative	sarcastic
285	Want to go to a live concert?	I only went to it once.	ambiguous	negative	unclassified
286	If you do decide to take this new job, would you consider as a promotion?	Unless plans change.	sarcastic	negative	conditional
287	If you do decide to take this new job, would you consider as a promotion?	I will try my best.	ambiguous	negative	conditional
288	Can you sing?	If you could give me some music.	conditional	negative	unclassified
289	Can you sing?	I’m ready for karaoke and embarrassment.	sarcastic	negative	contrastive
290	Can you sing?	Though I think I can piano better.	contrastive	negative	conditional
291	Can you sing?	Depends on who’s listening.	ambiguous	negative	conditional
292	Is the school district good?	If ratings matter.	conditional	negative	conditional
293	Is the school district good?	It’s basically Ivy League for kindergartners.	sarcastic	negative	sarcastic
294	Are outside activities something you enjoy?	If the weather’s nice.	conditional	negative	unclassified
295	Are outside activities something you enjoy?	Though I’m a bit seasonal with it.	contrastive	negative	conditional
296	Are outside activities something you enjoy?	Sometimes, depends on my mood.	ambiguous	negative	conditional
297	Are you a fan of sports?	When it comes to tennis.	conditional	negative	conditional
298	Are you a fan of sports?	Though I do not like watch table tennis.	contrastive	negative	conditional
299	Are you a fan of sports?	I always watch the final games.	ambiguous	negative	unclassified
300	Is disk golf fun to you?	If golf is cheap then no.	conditional	negative	unclassified
301	Is disk golf fun to you?	It’s quite different but good.	contrastive	negative	contrastive
302	Is disk golf fun to you?	golf is expensive.	ambiguous	negative	unclassified
303	Do you still play guitar?	If I had sold it then no.	conditional	negative	unclassified
304	Do you still play guitar?	I shred in my spare time… softly.	sarcastic	negative	contrastive
305	Do you still play guitar?	Though not as often as before.	contrastive	negative	unclassified
306	Do you have any pets?	If feeding them and cleaning after them means they’re mine.	conditional	negative	conditional
307	Do you have any pets?	Do not say I have, they own me.	sarcastic	negative	conditional
308	Do you have any pets?	Cats do not like dogs that must walk everyday outsides.	contrastive	negative	unclassified
309	Do you have any pets?	I forget to walk dog today.	ambiguous	negative	unclassified
310	Do you like jazz music?	If listening to it every day counts.	conditional	negative	conditional
311	Do you like jazz music?	Do not you like to dance with Jazz?	contrastive	negative	contrastive
312	Did you play clarinet in high school?	If you do not know I was the master.	conditional	negative	unclassified
313	Do you enjoy yardwork?	If flowers all grow well.	conditional	negative	conditional
314	Do you enjoy yardwork?	It’s not bad actually.	ambiguous	negative	unclassified
315	Can we talk about how your family is doing?	If you introduce your family first.	conditional	negative	unclassified
316	Can we talk about how your family is doing?	Everyone knows what my family is doing, they are famous.	sarcastic	negative	contrastive
317	Can we talk about how your family is doing?	It is easier than yours.	contrastive	negative	unclassified
318	Can we talk about how your family is doing?	It is small and easy.	ambiguous	negative	ambiguous
319	Do you have the experience to succeed in that job?	I have been unintentionally preparing my whole life.	sarcastic	negative	conditional
320	Do you have the experience to succeed in that job?	Confidence is more important than others.	contrastive	negative	unclassified
321	Do you have the experience to succeed in that job?	Smile is also important.	ambiguous	negative	contrastive
322	Do you have any plans tonight?	If you did not ask me so late.	conditional	negative	conditional
323	Do you have any plans tonight?	I am busier than you.	contrastive	negative	contrastive
324	Have you read the Harry Potter series?	If you did not ask me the details.	conditional	negative	unclassified
325	Have you read the Harry Potter series?	I bet no one did not read them.	sarcastic	negative	sarcastic
326	Have you read the Harry Potter series?	I just remember the ending.	ambiguous	negative	conditional
327	Have you gone to college?	If you do not care about the age.	conditional	negative	unclassified
328	Have you gone to college?	Just graduated.	ambiguous	negative	unclassified
329	Are you caught up with your work?	If finishing five reports in two days means caught up.	conditional	negative	unclassified
330	Are you caught up with your work?	It would be better if I got it earlier.	contrastive	negative	unclassified
331	Are you a fan of eating out?	If I don’t have to do dishes, I would be happy.	conditional	negative	conditional
332	Are you a fan of eating out?	Though I try to cook more lately.	contrastive	negative	conditional
333	Do you like your colleagues?	If I do not meet odd people later.	conditional	negative	conditional
334	Do you like your colleagues?	I could not meet such good people again.	sarcastic	negative	contrastive
335	Have you done a book club before?	I do not prefer read alone after that.	contrastive	negative	contrastive
336	Are you in on Monday?	If I do not get sick.	conditional	negative	unclassified
337	Are you in on Monday?	I’ll bring my Monday face.	sarcastic	negative	contrastive
338	Do you enjoy Italian cuisine?	If I do not eat them every day.	conditional	negative	unclassified
339	Do you enjoy Italian cuisine?	I dream in tomato sauce.	sarcastic	negative	contrastive
340	Do you enjoy Italian cuisine?	Pasta taste better than pizza.	contrastive	negative	unclassified
341	Did you bring the beer?	If you regard them as water. 	conditional	negative	unclassified
342	Did you bring the beer?	It’s chilling as we speak.	sarcastic	negative	unclassified
