id	question	answer	Type	predicted_label	True-label
37	Is there a specific dish that you enjoy?	If pasta did not on the menu, I would be unhappy.	conditional	No	Yes
38	Is there a specific dish that you enjoy?	I worship at the altar of lasagna.	sarcastic	Yes	Yes
39	Is there a specific dish that you enjoy?	I have a few favorites depending on the place.	contrastive	Yes	Yes
40	Is there a specific dish that you enjoy?	But it changes all the time.	ambiguous	No	Yes
41	Are you into art and culture?	If it involves museums and live music, yes.	conditional	Yes	Yes
42	Are you into art and culture?	I’m practically a walking exhibit.	sarcastic	Yes	Yes
43	Are you into art and culture?	Though I don’t go out as much as I’d like.	contrastive	No	Yes
44	Are you into art and culture?	To some degree.	ambiguous	Yes	Yes
45	Will you have enough room for your pets?	If I move a few things around.	conditional	Yes	Yes
46	Will you have enough room for your pets?	My dog is boss at home.	sarcastic	No	Yes
47	Will you have enough room for your pets?	My dog has more space than I do.	contrastive	Yes	Yes
48	Will you have enough room for your pets?	I only get one.	ambiguous	No	Yes
49	Did you go shopping in town last weekend ?	If we are talking about hanging around and buying things from the shops, yes.	conditional	Yes	Yes
50	Did you go shopping in town last weekend ?	I boosted the local economy.	sarcastic	Yes	Yes
51	Did you go shopping in town last weekend ?	I browsed a bit, didn’t buy much.	contrastive	No	Yes
52	Did you go shopping in town last weekend ?	I don't have suitable jacke for this season.	ambiguous	No	Yes
53	Do you like hip/hop music?	If the beat’s right.	conditional	Yes	Yes
54	Do you like hip/hop music?	I’ve got a rap playlist for every mood.	sarcastic	Yes	Yes
55	Do you like hip/hop music?	I like parts of it, not everything.	contrastive	No	Yes
56	Do you like hip/hop music?	For several times.	ambiguous	Yes	Yes
57	Want to go for a hike tomorrow?	If the weather’s good.	conditional	Yes	Yes
58	Want to go for a hike tomorrow?	Let’s get lost in nature and our thoughts.	sarcastic	Yes	Yes
59	Want to go for a hike tomorrow?	I am tired of staying at home.	contrastive	No	Yes
60	Want to go for a hike tomorrow?	I do not have plan.	ambiguous	No	Yes
61	Have you read the new Stephen King book?	If skimming counts.	conditional	Yes	Yes
62	Have you read the new Stephen King book?	I read it with one eye closed.	sarcastic	No	Yes
63	Have you read the new Stephen King book?	Started it—pretty gripping so far.	contrastive	Yes	Yes
64	Have you read the new Stephen King book?	Just the start pages.	ambiguous	Yes	Yes
65	Are you a fan of series?	If they don’t end on cliffhangers.	conditional	No	Yes
66	Are you a fan of series?	My weekends are booked and binged.	sarcastic	Yes	Yes
67	Are you a fan of series?	I read some, though I’m picky.	contrastive	No	Yes
68	Are you a fan of series?	The waiting time is stressful.	ambiguous	No	Yes
69	You've already been to New York, haven't you?	If you must remind me of that.	conditional	Yes	Yes
70	You've already been to New York, haven't you?	Do not you remember?	sarcastic	No	Yes
71	You've already been to New York, haven't you?	I like London more.	contrastive	No	Yes
72	You've already been to New York, haven't you?	Nothing really stuck.	ambiguous	No	Yes
73	Any pets?	If you call my cat a pet.	conditional	Yes	Yes
74	Any pets?	My cat runs the place.	sarcastic	Yes	Yes
75	Any pets?	I am enjoying my life with my cat.	contrastive	Yes	Yes
76	Any pets?	I do not call him pet.	ambiguous	No	Yes
77	Did you visit any flats you're interested in yet?	If you mean flats in the city.	conditional	Yes	Yes
78	Did you visit any flats you're interested in yet?	I can privide accommondation service now.	sarcastic	Yes	Yes
79	Did you visit any flats you're interested in yet?	I do not meet a satisfactory house yet.	contrastive	No	Yes
80	Did you visit any flats you're interested in yet?	I've been inside a dozen or more.	ambiguous	Yes	Yes
81	Do you like a lot of bass in your music?	I would be unhappy if my walls did not shake.	conditional	No	Yes
82	Do you like a lot of bass in your music?	My ears like to be massaged.	sarcastic	Yes	Yes
83	Do you like a lot of bass in your music?	Music needs to be more dynamic than talking.	contrastive	Yes	Yes
84	Do you like a lot of bass in your music?	Music is to dance.	ambiguous	Yes	Yes
85	Do you need to live next to a subway station?	If I want to stay sane.	conditional	No	Yes
86	Do you need to live next to a subway station?	No one likes a 30-minute walk in the rain.	sarcastic	No	Yes
87	Do you need to live next to a subway station?	It’d be fine, but not a must.	contrastive	No	Yes
88	Do you need to live next to a subway station?	Helpful, but not required.	ambiguous	No	Yes
89	Do you want to get a bagel?	If it’s toasted with cream cheese.	conditional	Yes	Yes
90	Do you want to get a bagel?	You are genius.	sarcastic	Yes	Yes
91	Do you want to get a bagel?	I do not need coffee.	contrastive	No	Yes
92	Do you want to get a bagel?	Why not?	ambiguous	No	Yes
93	Would you like to grab lunch sometime?	If you can find something I would like to eat.	conditional	Yes	Yes
94	Would you like to grab lunch sometime?	My calendar just cleared itself.	sarcastic	No	Yes
95	Would you like to grab lunch sometime?	Burger is better than sandwich.	contrastive	Yes	Yes
96	Would you like to grab lunch sometime?	I am going to have a rest next week.	ambiguous	No	Yes
97	Are you in the mood for a specific type of cuisine?	If I’m honest, something spicy sounds amazing.	conditional	Yes	Yes
98	Are you in the mood for a specific type of cuisine?	My stomach votes Thai today.	sarcastic	No	Yes
99	Are you in the mood for a specific type of cuisine?	Spicy is not better than sweet.	contrastive	No	Yes
100	Are you in the mood for a specific type of cuisine?	Do you like something spicy?	ambiguous	Yes	Yes
101	Are you relieved to get some time away?	If you want to buy me a coffee.	conditional	Yes	Yes
102	Are you relieved to get some time away?	Sure—I’ve never been more excited to do nothing.	sarcastic	No	Yes
103	Are you relieved to get some time away?	 I didn’t realize how much I needed the break until I took it.	contrastive	No	Yes
104	Are you relieved to get some time away?	It's been way too long since my last vacation.	ambiguous	No	Yes
105	Do you live in town?	If you do not live in the center, you maybe have met me in the bus.	conditional	No	Yes
106	Do you live in town?	Don’t you know the main man in town?	sarcastic	Yes	Yes
107	Do you live in town?	Close by, not right in the center.	contrastive	No	Yes
108	Do you live in town?	I live on the block over.	ambiguous	No	Yes
109	How about a game of cards?	If you did not forget to bring cards.	conditional	No	Yes
110	How about a game of cards?	I play like a pro sometimes.	sarcastic	Yes	Yes
111	How about a game of cards?	I’m down, but I might need a refresher.	contrastive	Yes	Yes
112	How about a game of cards?	You did not beat me last time.	ambiguous	No	Yes
113	Are we meeting at my house later?	Unless plans change.	conditional	No	Yes
114	Are we meeting at my house later?	Your snacks are legendary.	sarcastic	Yes	Yes
115	Are we meeting at my house later?	We can not find a better place.	contrastive	No	Yes
116	Are we meeting at my house later?	I will not leave my house until you call me.	ambiguous	No	Yes
117	Did you read Gone Girl?	If you do not count just skimm through.	conditional	No	Yes
118	Did you read Gone Girl?	I stayed up all night reading.	sarcastic	Yes	Yes
119	Did you read Gone Girl?	I still don’t know how to feel about the ending.	contrastive	No	Yes
120	Did you read Gone Girl?	I didn’t get much sleep that week.	ambiguous	No	Yes
121	Did you enjoy your time as a bus driver before your current job?	It was cool driving all around the city.	conditional	Yes	Yes
122	Did you enjoy your time as a bus driver before your current job?	Me and route 24 were tight.	sarcastic	No	Yes
123	Did you enjoy your time as a bus driver before your current job?	It is one of the most important job.	contrastive	Yes	Yes
124	Did you enjoy your time as a bus driver before your current job?	I can not forget that.	ambiguous	No	Yes
125	Have you been bowling around here?	If you do not mind that alway no scoring.	conditional	No	Yes
126	Have you been bowling around here?	I’ve tested all the lanes.	sarcastic	Yes	Yes
127	Have you been bowling around here?	I can not choose the best.	contrastive	No	Yes
128	Have you been bowling around here?	I tried out that new alley with the glow bowling.	ambiguous	Yes	Yes
129	Are you enjoying living here?	If you ignore the rent.	conditional	No	Yes
130	Are you enjoying living here?	I’ve practically adopted the local coffee shop.	sarcastic	Yes	Yes
131	Are you enjoying living here?	You will not find a better place.	contrastive	No	Yes
132	Are you enjoying living here?	All my family are here.	ambiguous	Yes	Yes
133	Have you had a chance to travel much?	If you do not count the chance because of work.	conditional	No	Yes
134	Have you had a chance to travel much?	My suitcase barely gets a rest.	sarcastic	No	Yes
135	Have you had a chance to travel much?	You must have less chance.	contrastive	No	Yes
136	Have you had a chance to travel much?	I'm always flying to a different city.	ambiguous	Yes	Yes
137	Have you researched the areas you are interested in?	If late-night Zillow browsing counts.	conditional	Yes	Yes
138	Have you researched the areas you are interested in?	I basically have spreadsheets for neighborhoods.	sarcastic	Yes	Yes
139	Have you researched the areas you are interested in?	I can not find a better area.	contrastive	No	Yes
140	Have you researched the areas you are interested in?	They're all pretty expensive.	ambiguous	Yes	Yes
141	Would you like a building with a doorman?	If he do not stop me to show my card.	conditional	No	Yes
142	Would you like a building with a doorman?	I like pretending I’m in a movie.	sarcastic	Yes	Yes
143	Would you like a building with a doorman?	Do not you think it is better?	contrastive	No	Yes
144	Would you like a building with a doorman?	Wouldn’t mind.	ambiguous	Yes	Yes
145	Will you eat raw or under cooked meat?	If it’s sushi or steak tartare.	conditional	Yes	Yes
146	Will you eat raw or under cooked meat?	Living on the edge, food edition.	sarcastic	No	Yes
147	Will you eat raw or under cooked meat?	Do not tell me that you like to eat well-done steak?	contrastive	No	Yes
148	Will you eat raw or under cooked meat?	I eat sushi all the time!	ambiguous	Yes	Yes
149	Is pizza ok?	If it’s got extra cheese.	conditional	Yes	Yes
150	Is pizza ok?	Pizza is never not okay.	sarcastic	No	Yes
151	Is pizza ok?	We could never have a better chioce.	contrastive	No	Yes
152	Is pizza ok?	Why not?	ambiguous	Yes	Yes
153	Do you work in Tech?	If I did not choose computer as my major.	conditional	No	Yes
154	Do you work in Tech?	I basically speak in code now.	sarcastic	Yes	Yes
155	Do you work in Tech?	I find it is more boring than last work.	contrastive	No	Yes
156	Do you work in Tech?	I'm an IT manager.	ambiguous	Yes	Yes
157	Want to go to a live concert?	If you buy me a ticket.	conditional	Yes	Yes
158	Want to go to a live concert?	Sure—I was born for loud music and overpriced drinks.	sarcastic	No	Yes
159	Want to go to a live concert?	I just heard that it is very lively.	contrastive	Yes	Yes
160	Want to go to a live concert?	I only went to it once.	ambiguous	No	Yes
161	If you do decide to take this new job, would you consider as a promotion?	If it comes with a raise and less stress.	conditional	No	Yes
162	If you do decide to take this new job, would you consider as a promotion?	Unless plans change.	sarcastic	No	Yes
163	If you do decide to take this new job, would you consider as a promotion?	It pays a lot better.	contrastive	Yes	Yes
164	If you do decide to take this new job, would you consider as a promotion?	I will try my best.	ambiguous	Yes	Yes
165	Can you sing?	If you could give me some music.	conditional	Yes	Yes
166	Can you sing?	I’m ready for karaoke and embarrassment.	sarcastic	No	Yes
167	Can you sing?	Though I think I can piano better.	contrastive	Yes	Yes
168	Can you sing?	Depends on who’s listening.	ambiguous	Yes	Yes
169	Is the school district good?	If ratings matter.	conditional	Yes	Yes
170	Is the school district good?	It’s basically Ivy League for kindergartners.	sarcastic	Yes	Yes
171	Is the school district good?	It seems solid from what I’ve heard.	contrastive	Yes	Yes
172	Is the school district good?	From what I've heard it is.	ambiguous	Yes	Yes
173	Are outside activities something you enjoy?	If the weather’s nice.	conditional	Yes	Yes
174	Are outside activities something you enjoy?	I practically live outdoors when it’s sunny.	sarcastic	Yes	Yes
175	Are outside activities something you enjoy?	Though I’m a bit seasonal with it.	contrastive	Yes	Yes
176	Are outside activities something you enjoy?	Sometimes, depends on my mood.	ambiguous	Yes	Yes
177	Are you a fan of sports?	When it comes to tennis.	conditional	Yes	Yes
178	Are you a fan of sports?	I scream at the TV like I’m on the team.	sarcastic	Yes	Yes
179	Are you a fan of sports?	Though I do not like watch table tennis.	contrastive	No	Yes
180	Are you a fan of sports?	I always watch the final games.	ambiguous	Yes	Yes
181	Is disk golf fun to you?	If golf is cheap then no.	conditional	No	Yes
182	Is disk golf fun to you?	It’s the chillest competition out there.	sarcastic	Yes	Yes
183	Is disk golf fun to you?	It’s quite different but good.	contrastive	Yes	Yes
184	Is disk golf fun to you?	golf is expensive.	ambiguous	Yes	Yes
185	Do you still play guitar?	If I had sold it then no.	conditional	No	Yes
186	Do you still play guitar?	I shred in my spare time… softly.	sarcastic	Yes	Yes
187	Do you still play guitar?	Though not as often as before.	contrastive	No	Yes
188	Do you still play guitar?	I've been practising again.	ambiguous	No	Yes
189	Do you have any pets?	If you do not treat cats as family members.	conditional	No	Yes
190	Do you have any pets?	Do not say I have, they own me.	sarcastic	No	Yes
191	Do you have any pets?	Cats do not like dogs that must walk everyday outsides.	contrastive	No	Yes
192	Do you have any pets?	I forget to walk dog today.	ambiguous	No	Yes
193	Do you like jazz music?	If I did not the happiness.	conditional	No	Yes
194	Do you like jazz music?	I snap my fingers like I know the rhythm.	sarcastic	Yes	Yes
195	Do you like jazz music?	Do not you like to dance with Jazz?	contrastive	No	Yes
196	Do you like jazz music?	I plike feeling good.	ambiguous	Yes	Yes
197	Did you play clarinet in high school?	If you do not know I was the master.	conditional	No	Yes
198	Did you play clarinet in high school?	I was the woodwind section’s hidden talent.	sarcastic	Yes	Yes
199	Did you play clarinet in high school?	No one there could do better than me.	contrastive	No	Yes
200	Did you play clarinet in high school?	I was the lead clarinet.	ambiguous	Yes	Yes
201	Do you enjoy yardwork?	If flowers all grow well.	conditional	Yes	Yes
202	Do you enjoy yardwork?	It’s basically outdoor therapy.	sarcastic	Yes	Yes
203	Do you enjoy yardwork?	I like piling up the leaves on a fall day.	contrastive	Yes	Yes
204	Do you enjoy yardwork?	It’s not bad actually.	ambiguous	No	Yes
205	Can we talk about how your family is doing?	If you introduce your family first.	conditional	No	Yes
206	Can we talk about how your family is doing?	Everyone knows what my family is doing, they are famous.	sarcastic	Yes	Yes
207	Can we talk about how your family is doing?	It is easier than yours.	contrastive	Yes	Yes
208	Can we talk about how your family is doing?	It is small and easy.	ambiguous	No	Yes
209	Do you have the experience to succeed in that job?	If you are confident.	conditional	Yes	Yes
210	Do you have the experience to succeed in that job?	I have been unintentionally preparing my whole life.	sarcastic	Yes	Yes
211	Do you have the experience to succeed in that job?	Confidence is more important than others.	contrastive	Yes	Yes
212	Do you have the experience to succeed in that job?	Smile is also important.	ambiguous	Yes	Yes
213	Do you have any plans tonight?	If you did not ask me so late.	conditional	No	Yes
214	Do you have any plans tonight?	I double booked with snacks and a movie.	sarcastic	Yes	Yes
215	Do you have any plans tonight?	I am busier than you.	contrastive	Yes	Yes
216	Do you have any plans tonight?	My boyfriend asked me to keep the night open.	ambiguous	Yes	Yes
217	Have you read the Harry Potter series?	If you did not ask me the details.	conditional	No	Yes
218	Have you read the Harry Potter series?	I bet no one did not read them.	sarcastic	No	Yes
219	Have you read the Harry Potter series?	The longer the better.	contrastive	No	Yes
220	Have you read the Harry Potter series?	I just remember the ending.	ambiguous	Yes	Yes
221	Have you gone to college?	If you do not care about the age.	conditional	No	Yes
222	Have you gone to college?	Survived the exams and cafeteria food.	sarcastic	Yes	Yes
223	Have you gone to college?	It is much more free than in middle school.	contrastive	Yes	Yes
224	Have you gone to college?	Just graduated.	ambiguous	Yes	Yes
225	Are you caught up with your work?	If I got this job right after graduation.	conditional	Yes	Yes
226	Are you caught up with your work?	I’m ahead for once in my life.	sarcastic	Yes	Yes
227	Are you caught up with your work?	It would be better if I got it earlier.	contrastive	No	Yes
228	Are you caught up with your work?	I have completed all my tasks.	ambiguous	Yes	Yes
229	Are you a fan of eating out?	If I don’t have to do dishes.	conditional	No	Yes
230	Are you a fan of eating out?	I practically live in restaurants.	sarcastic	No	Yes
231	Are you a fan of eating out?	Though I try to cook more lately.	contrastive	No	Yes
232	Are you a fan of eating out?	My hubs and I try a new restaurant every Friday.	ambiguous	Yes	Yes
233	Do you like your colleagues?	If I do not meet odd people later.	conditional	No	Yes
234	Do you like your colleagues?	I could not meet such good people again.	sarcastic	No	Yes
235	Do you like your colleagues?	They are the best partner in the world.	contrastive	Yes	Yes
236	Do you like your colleagues?	They’re not bad!	ambiguous	No	Yes
237	Have you done a book club before?	If reading one chapter and showing up counts, yes.	conditional	Yes	Yes
238	Have you done a book club before?	I show up for the snacks and stay for the plot.	sarcastic	Yes	Yes
239	Have you done a book club before?	I do not prefer read alone after that.	contrastive	No	Yes
240	Have you done a book club before?	Discussing the books was interesting.	ambiguous	Yes	Yes
241	Are you in on Monday?	If I do not get sick.	conditional	No	Yes
242	Are you in on Monday?	I’ll bring my Monday face.	sarcastic	No	Yes
243	Are you in on Monday?	Monday is a fresh begin in the week. 	contrastive	Yes	Yes
244	Are you in on Monday?	I'm in first thing Monday.	ambiguous	No	Yes
245	Do you enjoy Italian cuisine?	If I do not eat them every day.	conditional	No	Yes
246	Do you enjoy Italian cuisine?	I dream in tomato sauce.	sarcastic	Yes	Yes
247	Do you enjoy Italian cuisine?	Pasta taste better than pizza.	contrastive	Yes	Yes
248	Do you enjoy Italian cuisine?	Can’t go wrong with that.	ambiguous	No	Yes
249	Did you bring the beer?	If you regard them as water. 	conditional	Yes	Yes
250	Did you bring the beer?	It’s chilling as we speak.	sarcastic	Yes	Yes
251	Did you bring the beer?	Cold tastes better.	contrastive	No	Yes
252	Did you bring the beer?	I picked up a six-pack of IPA.	ambiguous	Yes	Yes
253	Do you attend concerts?	If the tickets aren’t sold out.	conditional	No	Yes
254	Do you attend concerts?	I’ve lost my voice at a few.	sarcastic	No	Yes
255	Do you attend concerts?	Now I’m a bit pickier.	contrastive	No	Yes
256	Do you attend concerts?	Depends on who’s playing.	ambiguous	Yes	Yes
257	Is your boss nice?	If he can pay me a little bit more.	conditional	No	Yes
258	Is your boss nice?	I treat him as my older brother.	sarcastic	Yes	Yes
259	Is your boss nice?	My superiors are very accommodating.	contrastive	Yes	Yes
260	Is your boss nice?	Not bad, all things considered.	ambiguous	No	Yes
261	Do you like alcohol or wine with dinner?	If I am not drunk.	conditional	No	Yes
262	Do you like alcohol or wine with dinner?	Nothing like wine to level up a meal.	sarcastic	No	Yes
263	Do you like alcohol or wine with dinner?	I prefer wine.	contrastive	No	Yes
264	Do you like alcohol or wine with dinner?	It is one of tradition.	ambiguous	Yes	Yes
265	Do you like crime and mystery?	if there are a ending.	conditional	Yes	Yes
266	Do you like crime and mystery?	I pretend I’m the detective.	sarcastic	Yes	Yes
267	Do you like crime and mystery?	It is more meanful than long romance.	contrastive	Yes	Yes
268	Do you like crime and mystery?	I really like to think and reason.	ambiguous	Yes	Yes
269	Are you excited to start a new job?	If I can go to work tomorrow.	conditional	Yes	Yes
270	Are you excited to start a new job?	 already planned my coffee mug.	sarcastic	No	Yes
271	Are you excited to start a new job?	It would be better to start work from now on.	contrastive	Yes	Yes
272	Are you excited to start a new job?	I can't wait to work somewhere new.	ambiguous	Yes	Yes
273	Was your trip here okay?	If I did not bought this dress then no.	conditional	No	Yes
274	Was your trip here okay?	Smooth ride and decent playlist.	sarcastic	Yes	Yes
275	Was your trip here okay?	The weather here is super nice than in my town.	contrastive	Yes	Yes
276	Was your trip here okay?	I think I will be back soon.	ambiguous	Yes	Yes
277	Would you like to eat at my favorite place?	If you invite me.	conditional	Yes	Yes
278	Would you like to eat at my favorite place?	I trust your taste buds more than mine.	sarcastic	Yes	Yes
279	Would you like to eat at my favorite place?	Why do you have a good taste?	contrastive	Yes	Yes
280	Would you like to eat at my favorite place?	When do we meet?	ambiguous	Yes	Yes
281	You like spicy food?	If I can stand it.	conditional	No	Yes
282	You like spicy food?	If my mouth’s on fire, I’m happy.	sarcastic	Yes	Yes
283	You like spicy food?	Spicy is better than too sweet.	contrastive	Yes	Yes
284	You like spicy food?	I like add some pepper into my suppe.	ambiguous	Yes	Yes
285	Want to go to the new pizza place?	If no one disagree.	conditional	No	Yes
286	Want to go to the new pizza place?	I’m always on a pizza quest.	sarcastic	Yes	Yes
287	Want to go to the new pizza place?	The new one is closer.	contrastive	Yes	Yes
288	Want to go to the new pizza place?	Which topping do you want to order?	ambiguous	Yes	Yes
289	Did all of your luggage arrive?	If I did not buy the insurance maybe not.	conditional	No	Yes
290	Did all of your luggage arrive?	I bought tickets for all of them so they must arrive ontime.	sarcastic	Yes	Yes
291	Did all of your luggage arrive?	It is faster.	contrastive	No	Yes
292	Did all of your luggage arrive?	No surprises this time.	ambiguous	No	Yes
293	Do you still live in the old neighborhood?	If I could afford a new one then no.	conditional	No	Yes
294	Do you still live in the old neighborhood?	Same streets, different view.	sarcastic	No	Yes
295	Do you still live in the old neighborhood?	It is the most beautiful area.	contrastive	Yes	Yes
296	Do you still live in the old neighborhood?	We haven't moved.	ambiguous	No	Yes
297	Was the trip in alright?	Everything was delightfully uneventful.	conditional	No	Yes
298	Was the trip in alright?	Nothing like travel snacks and stiff legs.	sarcastic	No	Yes
299	Was the trip in alright?	It is better than last time.	contrastive	Yes	Yes
300	Was the trip in alright?	Not bad.	ambiguous	No	Yes
301	Are you interested in hearing live music in the park?	When I have time I will stop for it.	conditional	No	Yes
302	Are you interested in hearing live music in the park?	I love music with a breeze and a blanket.	sarcastic	Yes	Yes
303	Are you interested in hearing live music in the park?	It is quite chill.	contrastive	Yes	Yes
304	Are you interested in hearing live music in the park?	I often meet it when I go for a walk after dinner.	ambiguous	Yes	Yes
305	Do you still live around here?	If I had moved to another city.	conditional	No	Yes
306	Do you still live around here?	I’m still part of the neighborhood club.	sarcastic	Yes	Yes
307	Do you still live around here?	I am familiar with this street.	contrastive	No	Yes
308	Do you still live around here?	I'll never move away.	ambiguous	No	Yes
309	Would you enjoy sightseeing downtown?	If someone drives me.	conditional	No	Yes
310	Would you enjoy sightseeing downtown?	Don't you like bustling metropolitan scenery?	sarcastic	Yes	Yes
311	Would you enjoy sightseeing downtown?	It is modern part.	contrastive	Yes	Yes
312	Would you enjoy sightseeing downtown?	I want to see all parts of the city.	ambiguous	Yes	Yes
313	Do you want to grab a bite to eat?	If I can eat a whole meal.	conditional	Yes	Yes
314	Do you want to grab a bite to eat?	My stomach just agree.	sarcastic	Yes	Yes
315	Do you want to grab a bite to eat?	I could use a snack.	contrastive	Yes	Yes
316	Do you want to grab a bite to eat?	I am starving.	ambiguous	Yes	Yes
317	Did you have a nice flight?	If I had a plane, I would hire this pilot.	conditional	No	Yes
318	Did you have a nice flight?	I want to buy a plane just for this pilot.	sarcastic	Yes	Yes
319	Did you have a nice flight?	I would never forget this flight.	contrastive	No	Yes
320	Did you have a nice flight?	I was spoiled.	ambiguous	Yes	Yes
321	Do you do accounting tasks, like with spreadsheets?	If I hadn't majored in accounting.	conditional	No	Yes
322	Do you do accounting tasks, like with spreadsheets?	I live in Excel half the week.	sarcastic	No	Yes
323	Do you do accounting tasks, like with spreadsheets?	I am more familiar with caculate than drinking.	contrastive	No	Yes
324	Do you do accounting tasks, like with spreadsheets?	Without spreadsheets, I wouldn't be able to keep things organised.	ambiguous	No	Yes
325	Do you have any experience with customer relations?	If I did not work on that for three years.	conditional	No	Yes
326	Do you have any experience with customer relations?	I could write a guidebook on it.	sarcastic	Yes	Yes
327	Do you have any experience with customer relations?	It is much more complex than others.	contrastive	Yes	Yes
328	Do you have any experience with customer relations?	I was a manager.	ambiguous	Yes	Yes
329	Do you find your coworkers pleasant?	If snack-sharing is a sign.	conditional	Yes	Yes
330	Do you find your coworkers pleasant?	Compared to my last job, they’re a breath of fresh air.	sarcastic	No	Yes
331	Do you find your coworkers pleasant?	I’ve worked with worse.	contrastive	No	Yes
332	Do you find your coworkers pleasant?	I actually look forward to breakroom chats.	ambiguous	No	Yes
333	Do you want a place close to home?	If it saves time and gas.	conditional	Yes	Yes
334	Do you want a place close to home?	Walking distance is a dream.	sarcastic	Yes	Yes
335	Do you want a place close to home?	The closer the better.	contrastive	Yes	Yes
336	Do you want a place close to home?	I do not like spend lots of time in the way.	ambiguous	No	Yes
337	Are you a bit too into stories about post-apocalyptic wastelands?	If owning three gas masks and a survival manual counts.	conditional	Yes	Yes
338	Are you a bit too into stories about post-apocalyptic wastelands?	I’ve imagined what I’d do if society collapsed.	sarcastic	No	Yes
339	Are you a bit too into stories about post-apocalyptic wastelands?	They beat watching another suburban drama.	contrastive	No	Yes
340	Are you a bit too into stories about post-apocalyptic wastelands?	My favorite tv show is the Walking Dead.	ambiguous	Yes	Yes
341	Do you like whodunnits?	When they’re smart and not too predictable.	conditional	No	Yes
342	Do you like whodunnits?	Let’s just say my bookshelf looks like a crime scene.	sarcastic	Yes	Yes
343	Do you like whodunnits?	Even though I’m almost always wrong.	contrastive	No	Yes
344	Do you like whodunnits?	My steries are hard to put down.	ambiguous	No	Yes
345	Have you been to a concert recently?	If I was dreaming.	conditional	Yes	Yes
346	Have you been to a concert recently?	My ears are still ringing.	sarcastic	No	Yes
347	Have you been to a concert recently?	I will never forget that.	contrastive	No	Yes
348	Have you been to a concert recently?	I saw Bryan Adams last week.	ambiguous	Yes	Yes
349	Do you play any musical instruments?	If the recorder in elementary school counts.	conditional	Yes	Yes
350	Do you play any musical instruments?	I dabble when no one’s watching.	sarcastic	No	Yes
351	Do you play any musical instruments?	I have a passion for the banjo.	contrastive	Yes	Yes
352	Do you play any musical instruments?	Not professionally.	ambiguous	No	Yes
353	Do you like dogs?	If wagging tails don’t melt your heart, what does?	conditional	No	Yes
354	Do you like dogs?	I say hi to every dog on the street.	sarcastic	Yes	Yes
355	Do you like dogs?	I can not find a better friend.	contrastive	No	Yes
